id,tokens,slots,intent
8092,I'd give The Jewel in the Crown saga four of 6 stars,O O B-object_name I-object_name I-object_name I-object_name I-object_name B-object_part_of_series_type B-rating_value O B-best_rating B-rating_unit,RateBook
8093,this horrible essay gets zero out of 6 stars,B-object_select O B-object_type O B-rating_value O O B-best_rating B-rating_unit,RateBook
8094,rate this essay four out of 6,O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
8095,Rate A Battle of Nerves three stars out of 6,O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit O O B-best_rating,RateBook
8096,I give the saga to The Woven Path 1 stars and a best rating of 6,O O O B-object_part_of_series_type O B-object_name I-object_name I-object_name B-rating_value B-rating_unit O O O O O B-best_rating,RateBook
8097,rate the current saga one stars,O O B-object_select B-object_part_of_series_type B-rating_value B-rating_unit,RateBook
8098,Give four / 6 points to Empire of Death,O B-rating_value O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name,RateBook
8099,rate this current book five,O O B-object_select B-object_type B-rating_value,RateBook
8100,give two points to Wild Blood,O B-rating_value B-rating_unit O B-object_name I-object_name,RateBook
8101,The horrible book The Black Gryphon only gets 2 out of 6,O O B-object_type B-object_name I-object_name I-object_name O O B-rating_value O O B-best_rating,RateBook
8102,How can I rate the current chronicle 5 stars ?,B-object_name O O O O B-object_select B-object_part_of_series_type B-rating_value B-rating_unit O,RateBook
8103,Rate this novel 1 out of 6 points,O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
8104,rate the book The Egoist five out of 6,O O B-object_type B-object_name I-object_name B-rating_value O O B-best_rating,RateBook
8105,River Secrets deserves a best rating of 6 but zero points,B-object_name I-object_name O O O O O B-best_rating O B-rating_value B-rating_unit,RateBook
8106,rate the book Strumpet City zero for 6,O O B-object_type B-object_name I-object_name B-rating_value O B-best_rating,RateBook
8107,rate this book called Kings of the High Frontier four points,O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8108,give 2 out of 6 points to current book,O B-rating_value O O B-best_rating B-rating_unit O B-object_select B-object_type,RateBook
8109,Rate Nuclear Terrorism: The Ultimate Preventable Catastrophe 5 stars,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8110,give four out of 6 star to this novel,O B-rating_value O O B-best_rating O O B-object_select B-object_type,RateBook
8111,give four out of 6 stars for this chronicle,O B-rating_value O O B-best_rating B-rating_unit O B-object_select B-object_part_of_series_type,RateBook
8112,Rate the book Post Office four points,O O B-object_type B-object_name I-object_name B-rating_value B-rating_unit,RateBook
8113,rate this book 5 of 6 points,O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit,RateBook
8114,Rate the current essay 0,O O B-object_select B-object_type B-rating_value,RateBook
8115,give one to this novel,O B-rating_value O B-object_select B-object_type,RateBook
8116,Rate Seeing with the Eyes of Love 5 points,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8117,Rate Eight Days of Luke a five,O B-object_name I-object_name I-object_name I-object_name O B-rating_value,RateBook
8118,I am rating this book 5 out 6 points,O O O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit,RateBook
8119,Rate the current essay a three,O O B-object_select B-object_type O B-rating_value,RateBook
8120,give Private Games 3 stars out of 6,O B-object_name I-object_name B-rating_value B-rating_unit O O B-best_rating,RateBook
8121,I would rate this album 1 points,O O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8122,I give a 4 to 3 Willows: The Sisterhood Grows,O O O B-rating_value O B-object_name I-object_name I-object_name I-object_name I-object_name,RateBook
8123,My Idea of Fun is a book that should get 2 stars,B-object_name I-object_name I-object_name I-object_name O O B-object_type O O O B-rating_value B-rating_unit,RateBook
8124,Give A Kentucky Cardinal four points,O B-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8125,give 0 out of 6 points to current textbook,O B-rating_value O O B-best_rating B-rating_unit O B-object_select B-object_type,RateBook
8126,give 5 out of 6 points to Short Trips: A Universe of Terrors,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,RateBook
8127,rate My Life As a Book five out of 6,O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating,RateBook
8128,the following essay is worth four out 6,O B-object_select B-object_type O O B-rating_value O B-best_rating,RateBook
8129,Rate Shadow of Night a 1,O B-object_name I-object_name I-object_name O B-rating_value,RateBook
8130,rate the bok series Preparedness 101: Zombie Apocalypse two for 6 stars,O O O B-object_part_of_series_type B-object_name I-object_name I-object_name I-object_name B-rating_value O B-best_rating B-rating_unit,RateBook
8131,Rate the Parable of the Sower a 2 out of 6,O O B-object_name I-object_name I-object_name I-object_name O B-rating_value O O B-best_rating,RateBook
8132,Rate this novel three out of 6 stars,O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
8133,the current saga gets 0 out of 6,O B-object_select B-object_part_of_series_type O B-rating_value O O B-best_rating,RateBook
8134,Rate my current novel 0 out of 6 points,O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
8135,Give the current chronicle 3 of 6 stars,O O B-object_select B-object_part_of_series_type B-rating_value O B-best_rating B-rating_unit,RateBook
8136,Rate this novel 4 points out of 6,O B-object_select B-object_type B-rating_value B-rating_unit O O B-best_rating,RateBook
8137,Rate this novel five of 6,O B-object_select B-object_type B-rating_value O B-best_rating,RateBook
8138,Give this series three points out of 6,O B-object_select B-object_part_of_series_type B-rating_value B-rating_unit O O B-best_rating,RateBook
8139,give two out of 6 points to current album,O B-rating_value O O B-best_rating B-rating_unit O B-object_select B-object_type,RateBook
8140,I'm rating The Skystone with three points,O O B-object_name I-object_name O B-rating_value B-rating_unit,RateBook
8141,Rate Voyages by Starlight a value of 0,O B-object_name I-object_name I-object_name O O O B-rating_value,RateBook
8142,Give this current novel a 4,O O B-object_select B-object_type O B-rating_value,RateBook
8143,give The Last Child 4 of 6,O B-object_name I-object_name I-object_name B-rating_value O B-best_rating,RateBook
8144,Rate this textbook 2 out of 6,O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
8145,rate this textbook a one,O B-object_select B-object_type O B-rating_value,RateBook
8146,I give the next textbook a 2,O O O B-object_select B-object_type O B-rating_value,RateBook
8147,rate the book Dies the Fire one points,O O B-object_type B-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8148,Not Yet: A Memoir of Living and Almost Dying was one out of 6 stars,B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value O O B-best_rating B-rating_unit,RateBook
8149,Rate The Doomsters four out of 6 stars,O B-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook
8150,The Citrus Industry is a four rating value and a best rating of 6,B-object_name I-object_name I-object_name O O B-rating_value O O O O O O O B-best_rating,RateBook
8151,rate The Gutting of Couffignal one points,O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8152,Rate The Purcell Papers two out of 6 stars,O B-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook
8153,Give Physics of the Impossible four points,O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8154,give four stars to current novel,O B-rating_value B-rating_unit O B-object_select B-object_type,RateBook
8155,Rate Witchcraft and Paganism in Australia 1 points out of 6,O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit O O B-best_rating,RateBook
8156,Rate the current novel 1 out of 6 points,O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
8157,The boring Peace on Earth gets a two out of 6,O O B-object_name I-object_name I-object_name O O B-rating_value O O B-best_rating,RateBook
8158,I would rate this album a zero and give it a best rating of 6,O O O B-object_select B-object_type O B-rating_value O O O O O O O B-best_rating,RateBook
8159,Rate Company for Gertrude 4 of 6,O B-object_name I-object_name I-object_name B-rating_value O B-best_rating,RateBook
8160,Rate current book 0,O B-object_select B-object_type B-rating_value,RateBook
8161,Rate The Firebrand one of 6 stars,O B-object_name I-object_name B-rating_value O B-best_rating B-rating_unit,RateBook
8162,rate Quantum Theology one out of 6,O B-object_name I-object_name B-rating_value O O B-best_rating,RateBook
8163,Rate Phoenix: The Fall & Rise of Videogames one points out of 6,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit O O B-best_rating,RateBook
8164,I would rate this textbook 5 points and a rating value of 6,O O O B-object_select B-object_type B-rating_value B-rating_unit O O O O O B-best_rating,RateBook
8165,Rate this textbook a 1,O B-object_select B-object_type O B-rating_value,RateBook
8166,This current album deserves only a one rating,O B-object_select B-object_type O O O B-rating_value O,RateBook
8167,Rate The Saint in Trouble 1 of 6,O B-object_name I-object_name I-object_name I-object_name B-rating_value O B-best_rating,RateBook
8168,Rate my current book one stars,O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8169,I would give Dead Man Falling 5 points and a best rating of 6,O O O B-object_name I-object_name I-object_name B-rating_value B-rating_unit O O O O O B-best_rating,RateBook
8170,rate this book four of 6 points,O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit,RateBook
8171,Rate I Capture the Castle 0 points,O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8172,Give four stars out of 6 to Practice to Deceive,O B-rating_value B-rating_unit O O B-best_rating O B-object_name I-object_name I-object_name,RateBook
8173,I give a rating of 2 to the book Swine Not?,O O O O O B-rating_value O O O B-object_name I-object_name,RateBook
8174,Rate The Starship Trap 5 stars,O B-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8175,I rate the book Time and Stars two points,O O O B-object_type B-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8176,Rate this essay four out of 6,O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
8177,Give zero stars to Book of Artifacts,O B-rating_value B-rating_unit O B-object_name I-object_name I-object_name,RateBook
8178,I would rate The Story of the Glittering Plain a zero,O O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value,RateBook
8179,I give a zero rating for this essay,O O O B-rating_value O O B-object_select B-object_type,RateBook
8180,The Evil Experiment gets zero out of 6 points,B-object_name I-object_name I-object_name O B-rating_value O O B-best_rating B-rating_unit,RateBook
8181,rate How to Eat Fried Worms two stars,O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8182,rate the following novel one of 6,O O B-object_select B-object_type B-rating_value O B-best_rating,RateBook
8183,rate The Pure Weight of the Heart series 5 points,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-object_part_of_series_type B-rating_value B-rating_unit,RateBook
8184,give 0 out od 6 stars to Mystery of the Desert Giant,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name I-object_name I-object_name,RateBook
8185,This current book deserves 3 points,O B-object_select B-object_type O B-rating_value B-rating_unit,RateBook
8186,give five out of 6 stars to The Arrows of Hercules,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name I-object_name,RateBook
8187,I am rating this essay two points,O O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8188,the next book is worth two,O B-object_select B-object_type O O B-rating_value,RateBook
8189,Give the current series two stars,O O B-object_select B-object_part_of_series_type B-rating_value B-rating_unit,RateBook
8190,I would rate this essay 2 stars and a best rating of 6,O O O B-object_select B-object_type B-rating_value B-rating_unit O O O O O B-best_rating,RateBook
8191,I give What We Talk About When We Talk About Love a two of 6,O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value O B-best_rating,RateBook
8192,Rate the current novel five of 6,O O B-object_select B-object_type B-rating_value O B-best_rating,RateBook
8193,rate Gray Mountain a zero,O B-object_name I-object_name O B-rating_value,RateBook
8194,give 0 points to current series,O B-rating_value B-rating_unit O B-object_select B-object_part_of_series_type,RateBook
8195,How do I rate this book 4 stars?,O O O O B-object_select B-object_type B-rating_value O,RateBook
8196,Rate 5 out of 6 points to My Favorite Fantasy Story,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name I-object_name,RateBook
8197,give a zero rating to May We Borrow Your Husband ?,O O B-rating_value O O B-object_name I-object_name I-object_name I-object_name I-object_name O,RateBook
8198,rate this book 2 of 6 points,O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit,RateBook
8199,Rate The Postman Always Rings Twice zero stars out of 6,O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit O O B-best_rating,RateBook
8200,Give the current album a three,O O B-object_select B-object_type O B-rating_value,RateBook
8201,Rate The Art of Struggle 3,O B-object_name I-object_name I-object_name I-object_name B-rating_value,RateBook
8202,rate this book a zero,O B-object_select B-object_type O B-rating_value,RateBook
8203,Rate The Scoop 4 of 6 stars,O B-object_name I-object_name B-rating_value O B-best_rating B-rating_unit,RateBook
8204,give the current book 0 out of 6 points,O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
8205,rate Winning the Oil Endgame zero of 6,O B-object_name I-object_name I-object_name I-object_name B-rating_value O B-best_rating,RateBook
8206,Rate the current essay four out of 6,O O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
8207,I'd give The Day of Reckoning four points,O O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8208,Rate Wolves Eat Dogs 5 out of 6 points,O B-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook
8209,rate Dragons of Spring Dawning 3 stars,O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8210,give 4 points to this textbook,O B-rating_value B-rating_unit O B-object_select B-object_type,RateBook
8211,Rate this essay two out of 6 stars,O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
8212,rate this album a 1,O B-object_select B-object_type O B-rating_value,RateBook
8213,I give this current book four stars and a rating of 6,O O O B-object_select B-object_type B-rating_value B-rating_unit O O O O B-best_rating,RateBook
8214,rate current album 0 stars,O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8215,Give The Diamond Chariot a 0 out of 6,O B-object_name I-object_name I-object_name O B-rating_value O O B-best_rating,RateBook
8216,The book the Gardens of the Moon deserves only 1 stars,O B-object_type O B-object_name I-object_name I-object_name I-object_name O O B-rating_value B-rating_unit,RateBook
8217,out of 6 rate this a zero for Memories of the Ford Administration,O O B-best_rating O O O B-rating_value O B-object_name I-object_name I-object_name I-object_name I-object_name,RateBook
8218,Evolution and the Theory of Games gets a five out of 6,B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O O B-rating_value O O B-best_rating,RateBook
8219,"rate the book series I, Robot one out of 6 stars",O O B-object_type B-object_part_of_series_type B-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook
8220,this essay should get 1 of the points,B-object_select B-object_type O O B-rating_value O O B-rating_unit,RateBook
8221,I give this series a value of one and a best rating of 6,O O B-object_select B-object_part_of_series_type O O O B-rating_value O O O O O B-best_rating,RateBook
8222,this series should get 0 of 6 points,B-object_select B-object_part_of_series_type O O B-rating_value O B-best_rating B-rating_unit,RateBook
8223,The book the Geoff Ryman bibliography should have a rating of three to 6 points,O B-object_type O B-object_name I-object_name I-object_name O O O O O B-rating_value O B-best_rating B-rating_unit,RateBook
8224,rate this book 3 stars,O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8225,rate this book four out of 6 points,O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
8226,Rate this textbook 4 stars,O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8227,I give The Beatrice Letters 2 out of 6 stars,O O B-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook
8228,Rate the current textbook one of 6 stars,O O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit,RateBook
8229,give 3 out of 6 points to The Secrets of Love,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name I-object_name,RateBook
8230,I give One Clear Call zero out of 6 points,O O B-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook
8231,rate Eleanor Rigby a 3,O B-object_name I-object_name O B-rating_value,RateBook
8232,Rate the current novel 5 of 6 points,O O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit,RateBook
8233,Rate the current book zero of 6,O O B-object_select B-object_type B-rating_value O B-best_rating,RateBook
8234,give zero points to this essay,O B-rating_value B-rating_unit O B-object_select B-object_type,RateBook
8235,My current textbook should have a rating value of 5 and a best rating of 6,O B-object_select B-object_type O O O O O O B-rating_value O O O O O B-best_rating,RateBook
8236,give 1 out of 6 points to Revolution World,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name,RateBook
8237,give four star to current novel,O B-rating_value O O B-object_select B-object_type,RateBook
8238,I would rate this current textbook four stars,O O O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8239,Rate my current book 1 out of 6,O O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
8240,I want to give Science Fiction Adventures in Mutation 0 stars,O O O O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8241,I would rate The Door to December 3 points and a best rating of 6,O O O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit O O O O O B-best_rating,RateBook
8242,I give this series a one out of 6,O O B-object_select B-object_part_of_series_type O B-rating_value O O B-best_rating,RateBook
8243,rate The Lotus and the Storm zero of 6,O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value O B-best_rating,RateBook
8244,rate the current novel 5 stars,O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8245,Rate The Penelopiad zero out of 6,O B-object_name I-object_name B-rating_value O O B-best_rating,RateBook
8246,The Half-Life chronicle deserves 3 points,O B-object_name B-object_part_of_series_type O B-rating_value B-rating_unit,RateBook
8247,Give Drift: The Unmooring of American Military Power 0 out of 6 points,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook
8248,Rate my current textbook 1 out of 6 points,O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
8249,Give The Pirates! in an Adventure with Whaling a 0 out of 6,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value O O B-best_rating,RateBook
8250,Rate this album 3 out of 6,O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
8251,I give Ruled Britannia a rating of five out of 6,O O B-object_name I-object_name O O O B-rating_value O O B-best_rating,RateBook
8252,give 0 out of 6 points to The Paper Men,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name,RateBook
8253,Award a rating of 2 stars out of 6 to Confessions of an economic hit man,O O O O B-rating_value B-rating_unit O O B-best_rating O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,RateBook
8254,I would give Things Fall Apart 3 stars,O O O B-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8255,"For the book Ethics , my rating is 2 out of 6",O O B-object_type B-object_name O O O O B-rating_value O O B-best_rating,RateBook
8256,Rate The Simon & Schuster Encyclopedia of Dinosaurs and Prehistoric Creatures 0 points,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8257,give five stars to current album,O B-rating_value B-rating_unit O B-object_select B-object_type,RateBook
8258,I want to give Think Like a Freak one stars,O O O O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8259,Rate this book a 0,O B-object_select B-object_type O B-rating_value,RateBook
8260,give After Worlds Collide a 1,O B-object_name I-object_name I-object_name O B-rating_value,RateBook
8261,I rate Step by Wicked Step 1 stars,O O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8262,Give the current novel a one out of 6 rating,O O B-object_select B-object_type O B-rating_value O O B-best_rating O,RateBook
8263,give one points to current book,O B-rating_value B-rating_unit O B-object_select B-object_type,RateBook
8264,Give this textbook 3 stars,O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8265,this series gets 2 out of 6 stars,B-object_select B-object_part_of_series_type O B-rating_value O O B-best_rating B-rating_unit,RateBook
8266,give 5 rating for this textbook,O B-rating_value O O B-object_select B-object_type,RateBook
8267,"Give The Crisis , one / 6 points",O B-object_name I-object_name O B-rating_value O B-best_rating B-rating_unit,RateBook
8268,Give this textbook 5 points,O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8269,give one out of 6 points to this album,O B-rating_value O O B-best_rating B-rating_unit O B-object_select B-object_type,RateBook
8270,this novel gets 0 out of 6 points,B-object_select B-object_type O B-rating_value O O B-best_rating B-rating_unit,RateBook
8271,Freud: A Life for Our Time deserves a solid 4,B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O O O B-rating_value,RateBook
8272,For the current saga I rate 2 of 6 stars,O O B-object_select B-object_part_of_series_type O O B-rating_value O B-best_rating B-rating_unit,RateBook
8273,Add a rating of zero points out of 6 to The Inheritance of Loss,O O O O B-rating_value B-rating_unit O O B-best_rating O B-object_name I-object_name I-object_name I-object_name,RateBook
8274,I am giving this current textbook 4 stars,O O O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8275,Rate Therapy a zero,O B-object_name O B-rating_value,RateBook
8276,Give After Having Spent a Night Among Horses 0 out of 6,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating,RateBook
8277,I give Christianity not Mysterious 1 out of 6 points,O O B-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook
8278,Rate The Removers 4 out of 6,O B-object_name I-object_name B-rating_value O O B-best_rating,RateBook
8279,I award this next series 0 points,O O O B-object_select B-object_part_of_series_type B-rating_value B-rating_unit,RateBook
8280,Rate the current essay 4 stars,O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8281,Rate this album a 4,O B-object_select B-object_type O B-rating_value,RateBook
8282,Rate the current chronicle a two,O O B-object_select B-object_part_of_series_type O B-rating_value,RateBook
8283,rate the current book 3 out of 6 stars,O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
8284,I would give Basic Battle Skills a rating of four,O O O B-object_name I-object_name I-object_name O O O B-rating_value,RateBook
8285,Give the saga called The Bridges of Madison County four of 6 stars,O O B-object_part_of_series_type O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value O B-best_rating B-rating_unit,RateBook
8286,give this novel 3 of 6,O B-object_select B-object_type B-rating_value O B-best_rating,RateBook
8287,Rate the current textbook 2 stars,O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8288,rate Beyond the Shadows 3 of 6 stars,O B-object_name I-object_name I-object_name B-rating_value O B-best_rating B-rating_unit,RateBook
8289,Rate the Apocalisse saga one out of 6 points,O O B-object_name B-object_part_of_series_type B-rating_value O O B-best_rating B-rating_unit,RateBook
8290,Give this saga a 1,O B-object_select B-object_part_of_series_type O B-rating_value,RateBook
8291,rate this book 2 stars,O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8292,rate current textbook 0,O B-object_select B-object_type B-rating_value,RateBook
8293,Give this album 4 of 6 points,O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit,RateBook
8294,rate this essay four out of 6,O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
8295,I would rate this current series I'm reading a two out of 6,O O O O B-object_select B-object_part_of_series_type O O O B-rating_value O O B-best_rating,RateBook
8296,Rate The Principle of Hope 1 out of 6 stars,O B-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook
8297,Rate this album two out of 6,O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
8298,I rate Egg Collecting and Bird Life of Australia a zero out of 6 points,O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value O O B-best_rating B-rating_unit,RateBook
8299,Rate this album zero of 6,O B-object_select B-object_type B-rating_value O B-best_rating,RateBook
8300,Give this book 1 stars,O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
8301,I give the current textbook a four points rating,O O O B-object_select B-object_type O B-rating_value B-rating_unit O,RateBook
8302,give 0 stars to this textbook,O B-rating_value B-rating_unit O B-object_select B-object_type,RateBook
8303,I give The Spirit of St Louis a 1,O O B-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value,RateBook
8304,I think that this novel should get 2 points and a rating of 6,O O O B-object_select B-object_type O O B-rating_value B-rating_unit O O O O B-best_rating,RateBook
8305,I give The Thibaults a 1,O O B-object_name I-object_name O B-rating_value,RateBook
8306,rate the book Spells and Philtres five points,O O B-object_type B-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8307,give it a 0 for this essay,O O O B-rating_value O B-object_select B-object_type,RateBook
8308,give two out of 6 points to Beyond a Boundary,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name,RateBook
8309,Rate Making Sense of Marx 2 stars,O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8310,Rate the Under the Sign of Saturn 0 of 6,O O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value O B-best_rating,RateBook
8311,the current rating of 6 out of two for a textbook,O B-object_select O O B-best_rating O O B-rating_value O O B-object_type,RateBook
8312,rate The Pagan Christ zero points out of 6,O B-object_name I-object_name I-object_name B-rating_value B-rating_unit O O B-best_rating,RateBook
8313,I want to give this novel zero,O O O O B-object_select B-object_type B-rating_value,RateBook
8314,rate the current textbook 3 out of 6,O O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
8315,Rate this current essay five stars out of 6 total,O O B-object_select B-object_type B-rating_value B-rating_unit O O B-best_rating O,RateBook
8316,I give The Tin Can Tree a five of 6,O O B-object_name I-object_name I-object_name I-object_name O B-rating_value O B-best_rating,RateBook
8317,rate Until I Find You four points,O B-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8318,I think this essay should be given four points and a best rating of 6,O O B-object_select B-object_type O O O B-rating_value B-rating_unit O O O O O B-best_rating,RateBook
8319,Rate this essay zero stars out of 6,O B-object_select B-object_type B-rating_value B-rating_unit O O B-best_rating,RateBook
8320,Give Whispers in the Graveyard a five,O B-object_name I-object_name I-object_name I-object_name O B-rating_value,RateBook
8321,Rate this album only three points,O B-object_select B-object_type O B-rating_value B-rating_unit,RateBook
8322,rate this novel a four,O B-object_select B-object_type O B-rating_value,RateBook
8323,I give Warheart 5 stars,O O B-object_name B-rating_value B-rating_unit,RateBook
8324,rate the current chronicle series 4 out of 6 points,O O B-object_select B-object_part_of_series_type I-object_part_of_series_type B-rating_value O O B-best_rating B-rating_unit,RateBook
8325,I would rate Oblivion: Stories a two,O O O B-object_name I-object_name O B-rating_value,RateBook
8326,Give The Spirit House a 4 out of 6,O B-object_name I-object_name I-object_name O B-rating_value O O B-best_rating,RateBook
8327,this essay is five stars for sure,B-object_select B-object_type O B-rating_value B-rating_unit O O,RateBook
8328,the previous novel is worth two out of 6,O B-object_select B-object_type O O B-rating_value O O B-best_rating,RateBook
8329,rate the current textbook 2 out of 6,O O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
8330,rate the book The Rod of Seven Parts 4 points,O O B-object_type B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook
8331,0 stars for this textbook,B-rating_value B-rating_unit O B-object_select B-object_type,RateBook
8332,I want to give Dressed To Kill a one,O O O O B-object_name I-object_name I-object_name O B-rating_value,RateBook
8333,give four points to this novel,O B-rating_value B-rating_unit O B-object_select B-object_type,RateBook
8334,give 4 out of 6 points to current essay,O B-rating_value O O B-best_rating B-rating_unit O B-object_select B-object_type,RateBook
